,precision,recall,f1-score
False,0.9035045607297167,0.5801479654747226,0.7065890745259996
True,0.20304271503803395,0.6332116788321168,0.307487815684537
accuracy,0.5878164556962026,0.5878164556962026,0.5878164556962026
macro avg,0.5532736378838754,0.6066798221534198,0.5070384451052683
weighted avg,0.80227747965402,0.5878164556962026,0.6489130487229613
