,precision,recall,f1-score
False,0.9105898745935903,0.6012881459898789,0.7243003602105846
True,0.20647031893789103,0.6373056994818653,0.3118948824343015
accuracy,0.6063303659742829,0.6063303659742829,0.6063303659742829
macro avg,0.5585300967657407,0.6192969227358721,0.5180976213224431
weighted avg,0.8120177798585393,0.6063303659742829,0.6665663127777426
