mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall
0.7149721622467041,0.010413227218047584,0.11945691108703613,0.007461796015152804,balanced_subsample,10,sqrt,1,2,100,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.6965428937259923,0.701363073110285,0.7100737100737101,0.676962676962677,0.7077681874229347,0.6985421082591199,0.011795973327081707,57,0.9233397122658614,0.9325116668661002,0.9230603132217285,0.9220751411854994,0.9307239619930525,0.9263421591064483,0.004364760335064447,72,0.7705382436260623,0.7447368421052631,0.7467700258397932,0.7514285714285714,0.7473958333333334,0.7521739032666047,0.009435531131161162,59,0.6355140186915887,0.6627634660421545,0.6768149882903981,0.6159250585480094,0.6721311475409836,0.6526297358226268,0.02327275269857176,20
1.3765900611877442,0.07733091862630499,0.3445798397064209,0.07777451484480498,balanced_subsample,10,sqrt,1,2,200,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.6970091027308193,0.6957605985037406,0.7055900621118012,0.6794871794871795,0.7087011349306431,0.6973096155528367,0.01018294159896669,59,0.9245595484721081,0.933129761102529,0.9243927696469846,0.9238340556428764,0.9309308931056852,0.9273694055940366,0.0038760868608417724,63,0.7859237536656891,0.744,0.7513227513227513,0.7507082152974505,0.76775956284153,0.7599428566254842,0.015164876526698637,55,0.6261682242990654,0.6533957845433255,0.6651053864168618,0.6206088992974239,0.65807962529274,0.6446715839698833,0.017859533269137178,26
2.1930379390716555,0.16061395083778834,0.7747476100921631,0.2835391916369461,balanced_subsample,10,sqrt,1,2,300,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.6919060052219321,0.7022332506203474,0.6986469864698647,0.6743886743886743,0.7103274559193955,0.6955004745240427,0.012113616332093936,64,0.92543111650468,0.9341572190617744,0.924655482189979,0.924305498699483,0.9298341582087323,0.9276766949329296,0.0037996619252498995,60,0.7840236686390533,0.7467018469656992,0.7357512953367875,0.7485714285714286,0.7683923705722071,0.7566881220170352,0.01725212251692752,57,0.6191588785046729,0.6627634660421545,0.6651053864168618,0.6135831381733021,0.6604215456674473,0.6442064829608877,0.02284393039865314,27
1.0515811443328857,0.296099914935468,0.5160391330718994,0.05068897915689401,balanced_subsample,10,sqrt,1,5,100,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.6903553299492385,0.6974483596597812,0.7004950495049505,0.679340937896071,0.7213930348258707,0.6978065423671823,0.013857691777250077,58,0.9233235554949178,0.9327320934860786,0.9218511157635624,0.9264044999419693,0.9287392227127588,0.9266100974798575,0.0038859630698181223,67,0.7555555555555555,0.7247474747474747,0.7427821522309711,0.7403314917127072,0.7692307692307693,0.7465294886954956,0.014991543280878419,60,0.6355140186915887,0.6721311475409836,0.6627634660421545,0.6276346604215457,0.6791569086651054,0.6554400402722755,0.020321914072757147,13
1.6641727447509767,0.18612368548541816,1.1294448852539063,0.07872878949274385,balanced_subsample,10,sqrt,1,5,200,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.7016645326504481,0.6969325153374233,0.7060301507537688,0.6794871794871795,0.7178841309823678,0.7003997018422374,0.012556767002576474,55,0.923703239612094,0.9334599511822513,0.9240148954413075,0.9279654802916109,0.9286249607505661,0.9275537054555659,0.0035651128603570123,61,0.7762039660056658,0.7319587628865979,0.7615176151761518,0.7507082152974505,0.776566757493188,0.7593910633718108,0.016793590126572586,56,0.6401869158878505,0.6651053864168618,0.65807962529274,0.6206088992974239,0.667447306791569,0.6502856267372891,0.017649855892265785,25
2.920269250869751,0.2525406870649005,1.1603851318359375,0.40461544909140806,balanced_subsample,10,sqrt,1,5,300,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",0.6888604353393086,0.7067484662576687,0.7037037037037037,0.6743589743589744,0.7229219143576826,0.6993186988034676,0.01651608074531081,56,0.925627690551161,0.9345674824850807,0.9233590137843112,0.9272205282861335,0.9293411223403729,0.9280231674894118,0.0038131858855514297,59,0.7620396600566572,0.7422680412371134,0.7441253263707572,0.7450424929178471,0.782016348773842,0.7550983738712433,0.01522435401233148,58,0.6285046728971962,0.6744730679156908,0.667447306791569,0.6159250585480094,0.6721311475409836,0.6516962507386899,0.024502618832837116,21
1.1899637699127197,0.17188672067803978,1.1827721118927002,0.7699989479915698,balanced_subsample,10,sqrt,1,10,100,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.672566371681416,0.7021791767554479,0.6919315403422983,0.6875784190715182,0.7037037037037037,0.6915918423108768,0.011286986582463063,76,0.9195365879054003,0.9322381579172293,0.9233239254652125,0.9270495851930893,0.9265673457306063,0.9257431204423074,0.004217706953794566,74,0.7327823691460055,0.7268170426065163,0.7237851662404092,0.7405405405405405,0.7441253263707572,0.7336100889808458,0.007771242914898416,76,0.6214953271028038,0.6791569086651054,0.6627634660421545,0.6416861826697893,0.667447306791569,0.6545098382542844,0.020481126105616806,15
1.8214286327362061,0.2780603861637462,1.7092462539672852,0.3757426247059797,balanced_subsample,10,sqrt,1,10,200,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.6897435897435897,0.7014563106796117,0.7002457002457002,0.6834804539722572,0.6996291718170581,0.6949110452916434,0.007084077570715011,67,0.9226386879265837,0.9326070351180091,0.92452952412142,0.9261858727229706,0.9270351899852539,0.9265992619748475,0.003359292295029126,68,0.7642045454545454,0.7279596977329975,0.7364341085271318,0.7404371584699454,0.7408376963350786,0.7419746413039396,0.0120411069476169,64,0.6285046728971962,0.6768149882903981,0.667447306791569,0.6346604215456675,0.6627634660421545,0.6540381711133971,0.018985129978013472,17
2.866295003890991,0.2958858017449523,1.1242780208587646,0.16177301624207094,balanced_subsample,10,sqrt,1,10,300,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 300}",0.6864516129032258,0.707168894289186,0.6933333333333334,0.6817610062893081,0.7092731829573935,0.6955976059544893,0.010964886955898978,63,0.9249517989666848,0.9336965724110444,0.9252240928994737,0.9260104311274777,0.9276568830236415,0.9275079556856645,0.003234615974923572,62,0.7665706051873199,0.7348484848484849,0.7185929648241206,0.7364130434782609,0.7628032345013477,0.7438456665679067,0.018164274427858545,63,0.6214953271028038,0.6814988290398126,0.6697892271662763,0.6346604215456675,0.6627634660421545,0.654041454179343,0.022418064558927458,16
1.3157373428344727,0.22625834306805756,1.2030383586883544,0.6314180381341927,balanced_subsample,10,sqrt,3,2,100,"{'class_weight': 'balanced_subsample', 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.6907216494845361,0.7040194884287454,0.700834326579261,0.6717171717171717,0.6992665036674817,0.6933118279754391,0.011659659890002528,72,0.9212348440512566,0.9317982043777626,0.9274589489159059,0.9273410881517542,0.925616362312986,0.9266898895619331,0.003406475434484315,65,0.7701149425287356,0.733502538071066,0.7135922330097088,0.7287671232876712,0.731457800511509,0.735486927481738,0.01867514126319054,74,0.6261682242990654,0.6768149882903981,0.6885245901639344,0.6229508196721312,0.6697892271662763,0.656849569918361,0.027054869451869204,7
