,precision,recall,f1-score
False,0.9066014669926651,0.5715166461159062,0.7010777084515031
True,0.204350314825415,0.6514598540145985,0.3111111111111111
accuracy,0.5830696202531646,0.5830696202531646,0.5830696202531646
macro avg,0.55547589090904,0.6114882500652523,0.5060944097813072
weighted avg,0.8051158047068916,0.5830696202531646,0.6447217761354338
