,precision,recall,f1-score
False,0.9331784884759693,0.40047538721055054,0.560437791727024
True,0.1827968227424749,0.8238341968911918,0.29920451629458555
accuracy,0.4597428288822948,0.4597428288822948,0.4597428288822948
macro avg,0.5579876556092221,0.6121547920508712,0.4298211540108048
weighted avg,0.8281300033884514,0.4597428288822948,0.5238668557729808
