,precision,recall,f1-score
False,0.9214501510574018,0.376078914919852,0.5341506129597198
True,0.17990275526742303,0.8102189781021898,0.29442970822281167
accuracy,0.4388185654008439,0.4388185654008439,0.4388185654008439
macro avg,0.5506764531624124,0.5931489465110209,0.4142901605912657
weighted avg,0.8142856012438711,0.4388185654008439,0.4995074020430991
