,precision,recall,f1-score
False,0.9123078756106279,0.5871032050299034,0.7144390016328435
True,0.20481393975191967,0.6533207724917569,0.31186059584035974
accuracy,0.5963732278272338,0.5963732278272338,0.5963732278272338
macro avg,0.5585609076812738,0.6202119887608302,0.5131497987366016
weighted avg,0.8132633898982614,0.5963732278272338,0.6580806794767311
