,precision,recall,f1-score
False,0.8607293868921776,0.9989265450084343,0.9246930229256867
True,0.5172413793103449,0.00706547338671691,0.013940520446096654
accuracy,0.8600725354434553,0.8600725354434553,0.8600725354434553
macro avg,0.6889853831012612,0.5029960091975756,0.46931677168589164
weighted avg,0.8126433308357166,0.8600725354434553,0.7971936782000574
