,precision,recall,f1-score
False,0.8567274649748876,0.999075215782984,0.9224420093923438
True,0.6666666666666666,0.010948905109489052,0.02154398563734291
accuracy,0.8562763713080169,0.8562763713080169,0.8562763713080169
macro avg,0.7616970658207771,0.5050120604462365,0.47199299751484336
weighted avg,0.8292608728143114,0.8562763713080169,0.7922489405585514
