,precision,recall,f1-score
False,0.8849828047382499,0.7139334155363748,0.7903088210203038
True,0.2102127659574468,0.45072992700729925,0.2867092280905398
accuracy,0.6758966244725738,0.6758966244725738,0.6758966244725738
macro avg,0.5475977853478483,0.582331671271837,0.5385090245554218
weighted avg,0.7874685691760452,0.6758966244725738,0.7175312427171627
