,precision,recall,f1-score
False,0.9455801900374317,0.2518018708786996,0.39769906145927947
True,0.1654122476907287,0.9109750353273669,0.27998552298226564
accuracy,0.3440817672271678,0.3440817672271678,0.3440817672271678
macro avg,0.5554962188640802,0.5813884531030332,0.33884229222077256
weighted avg,0.8363618226386812,0.3440817672271678,0.38121994229101697
