,precision,recall,f1-score
False,0.8970380818053597,0.5881627620221949,0.7104822193260101
True,0.1975975975975976,0.6003649635036497,0.2973339358337099
accuracy,0.5899261603375527,0.5899261603375527,0.5899261603375527
macro avg,0.5473178397014786,0.5942638627629222,0.50390807757986
weighted avg,0.795958602547487,0.5899261603375527,0.6507761910154138
