,precision,recall,f1-score
False,0.9102206736353078,0.6009047692071768,0.7239054128948826
True,0.20594965675057209,0.6358926048045219,0.3111315971421987
accuracy,0.605802835476426,0.605802835476426,0.605802835476426
macro avg,0.5580851651929399,0.6183986870058493,0.5175185050185407
weighted avg,0.8116273753269468,0.605802835476426,0.6661198005742135
